Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
1998,8,101.4080748,130.4670375
1998,9,123.9614741,169.0372652
1998,10,109.8813435,145.023234
1998,11,92.94632331,113.504746
1998,12,91.40617928,110.8949835
1999,1,98.64504358,123.3228375
1999,2,82.38359357,94.9962816
1999,3,66.00054029,67.02757148
1999,4,67.53294732,69.78789409
1999,5,67.08853957,64.77645683
1999,6,73.01111358,74.92561924
1999,7,79.81311471,86.52993788
1999,8,69.55317607,77.02533663
1999,9,69.81623647,77.49835239
1999,10,62.71155219,65.33707899
1999,11,82.063827,76.31718243
1999,12,83.80947389,79.32242993
2000,1,89.2015429,88.98869391
2000,2,77.60139043,73.3651997
2000,3,77.54831126,73.29862438
2000,4,76.05922675,70.59974192
2000,5,97.98620147,118.1432082
2000,6,92.96501667,109.5842294
2000,7,79.44697135,86.65834801
2000,8,66.58133247,58.90646108
2000,9,75.14165154,73.55099247
2000,10,84.66172286,89.91344671
2000,11,125.0675327,166.1840324
2000,12,115.2687179,149.4485002
2001,1,111.4160433,142.6141247
2001,2,110.9178477,128.6256554
2001,3,116.0269334,137.374157
2001,4,122.6734007,148.7580034
2001,5,100.4290096,117.4362555
2001,6,86.39026824,93.46123235
2001,7,102.1318509,120.2945915
2001,8,84.28911694,95.39996953
2001,9,188.0594928,272.7644686
2001,10,173.1433419,247.2942498
2001,11,130.5756326,172.4888281
2001,12,117.2365787,149.7089302
2002,1,116.837448,148.4497315
2002,2,87.60068537,104.6094257
2002,3,83.44043269,97.51299569
2002,4,88.56610439,106.1646488
2002,5,86.29885749,98.64004001
2002,6,93.61022285,111.149948
2002,7,110.3051717,139.6611169
2002,8,116.0148233,136.1190662
2002,9,124.0431533,149.8482072
2002,10,111.8859763,128.9736134
2002,11,123.2843906,162.2214062
2002,12,122.2216626,160.4113151
2003,1,138.9534027,185.5916265
2003,2,126.7277393,161.7597672
2003,3,163.5238111,224.6472035
2003,4,135.6275513,176.5798669
2003,5,102.6198169,122.3098305
2003,6,95.82729302,110.6955419
2003,7,91.74151456,103.7482471
